name,sample_metadata1,sample_metadata2,raw_reads,genome_fasta
QEUH-95DCF8,ERS5076765,SAMEA7318226,ERR4599931,"ERZ1847943	"
MILK-9757AE,ERS5123514,SAMEA7365056,ERR4644116,"ERZ1878982	"
MILK-970846,ERS5121785,SAMEA7363325,ERR4643074,"ERZ1881265	"
MILK-993E3C,ERS5123827,SAMEA7365369,ERR4644429,"ERZ1855459	"
QEUH-96F877,ERS5089706,SAMEA7331183,ERR4615451,
MILK-97489D,ERS5143185,SAMEA7385033,ERR4668053,"ERZ1929915	"
MILK-9758D8,ERS5123556,SAMEA7365098,ERR4644158,"ERZ1879015	"
QEUH-96BD03,ERS5075016,SAMEA7316475,ERR4598183,"ERZ1843130	"
QEUH-963CFF,ERS5074883,SAMEA7316342,ERR4598050,"ERZ1842980	"
QEUH-969C35,ERS5075607,SAMEA7317067,ERR4598774,"ERZ1842530	"
ALDP-95190C,ERS5119659,SAMEA7361196,ERR4640948,"ERZ1922928	"
CAMC-94881A,ERS5117079,SAMEA7358610,ERR4638369,"ERZ1924229	"
QEUH-999003,ERS5090238,SAMEA7331716,ERR4615984,"ERZ1850500	"
MILK-9758E7,ERS5123555,SAMEA7365097,ERR4644157,"ERZ1880594	"
QEUH-943615,ERS5062937,SAMEA7304381,ERR4585022,"ERZ1844563	"
MILK-977D22,ERS5125718,SAMEA7367264,ERR4646628,"ERZ1852718	"
MILK-977F0E,ERS5125698,SAMEA7367244,ERR4646608,"ERZ1852734	"
QEUH-95F1E8,ERS5074144,SAMEA7315602,ERR4597311,"ERZ1844313	"
MILK-9709DA,ERS5121862,SAMEA7363402,ERR4643151,"ERZ1881941	"
MILK-99A530,ERS5125906,SAMEA7367452,ERR4646816,"ERZ1853050	"
ALDP-6D1A04,ERS5118136,SAMEA7359669,ERR4639426,"ERZ1923638	"
ALDP-9B5924,ERS5209605,SAMEA7451413,ERR4686600,"ERZ1935361	"
MILK-970A6E,ERS5121888,SAMEA7363428,ERR4643177,"ERZ1881287	"
QEUH-99036D,ERS5090086,SAMEA7331563,ERR4615832,
MILK-9931F7,ERS5124150,SAMEA7365693,ERR4645059,"ERZ1856426	"
QEUH-96F6E6,ERS5089686,SAMEA7331163,ERR4615431,
MILK-973306,ERS5143140,SAMEA7384988,ERR4668008,"ERZ1929976	"
CAMC-991706,ERS5124117,SAMEA7365660,ERR4645026,"ERZ1856133	"
CAMC-990B1A,ERS5124722,SAMEA7366266,ERR4645631,"ERZ1855936	"
MILK-970F6F,ERS5121854,SAMEA7363394,ERR4643143,"ERZ1882019	"
QEUH-98FD54,ERS5090082,SAMEA7331559,ERR4615828,
MILK-991F2C,ERS5124217,SAMEA7365760,ERR4645126,"ERZ1856163	"
QEUH-9985C9,ERS5090120,SAMEA7331597,ERR4615866,
MILK-973272,ERS5143113,SAMEA7384961,ERR4667981,"ERZ1929973	"
